fireID,fire_name,fire_start,wind_start,hours_of_data,days_of_data,peak_aerial,peak_personnel,first_suppression,hours_til_first,hours_til_aerial,hours_til_personnel,days_til_first,days_til_aerial,days_til_personnel,fs209_indices
ID4634611483620150805,ARMY_MULE,2015-08-08 21:39:31,2015-08-07,1320.0,55.0,2015-08-14 21:45:00,2015-08-14 21:45:00,2015-08-14 21:45:00,144,144,144,6,6,6,"[80413, 106832]"
ID4439211551320170824,BEARSKIN,2017-08-25 03:00:00,2017-08-25,672.0,28.0,2017-09-10 16:00:00,2017-09-14 16:30:00,2017-09-10 16:00:00,397,397,494,17,17,21,[111189]
MT4784711358920150812,BEAR_CREEK,2015-08-13 01:55:00,2015-08-13,1200.0,50.0,2015-08-19 18:00:00,2015-08-31 21:30:00,2015-08-19 18:00:00,160,160,452,7,7,19,[106666]
ID4631911498620130718,CALIFORNIA_POINT,2013-07-19 09:13:00,2013-07-18,1032.0,43.0,2013-07-19 13:30:00,2013-07-19 13:30:00,2013-07-19 13:30:00,4,4,4,0,0,0,[103406]
ID4548411532320150813,CAMPBELLS,2015-08-15 03:56:59,2015-08-15,1128.0,47.0,2015-08-15 20:00:00,2015-08-22 18:00:00,2015-08-15 20:00:00,16,16,182,1,1,8,[106999]
ID4624611454720170813,CHUTE_CREEK,2017-08-15 16:09:14,2017-08-09,1128.0,47.0,2017-08-16 10:00:00,2017-08-16 10:00:00,2017-08-16 10:00:00,18,18,18,1,1,1,[111061]
MT4817011309420170811,CRUCIFIXION_CREEK,2017-08-16 03:21:10,2017-08-15,792.0,33.0,2017-09-14 18:00:00,2017-09-05 17:00:00,2017-09-05 17:00:00,494,711,494,21,30,21,[110510]
MT4766611562420170830,CUB_CREEK,2017-08-31 04:09:57,2017-08-30,504.0,21.0,2017-08-31 15:00:00,2017-08-31 15:00:00,2017-08-31 15:00:00,11,11,11,0,0,0,"[80547, 110804]"
MT4775411540420170830,DEEP_CREEK,2017-08-31 11:42:08,2017-08-30,552.0,23.0,2017-08-31 16:00:00,2017-08-31 16:00:00,2017-08-31 16:00:00,4,4,4,0,0,0,"[80546, 80549, 110777, 110841]"
ID4445011456920150824,ELEVENMILE,2015-08-25 04:11:43,2015-08-24,600.0,25.0,2015-09-03 19:00:00,2015-09-04 19:00:00,2015-09-03 19:00:00,231,231,255,10,10,11,[107042]
